BU,schedule,range,step,biweekly,ak_annual_salary
XE,A00,24,P,6714.0,174564.0
XE,A00,25,P,7214.25,187570.5
XE,A00,26,P,7473.75,194317.5
XE,A00,27,P,7754.25,201610.5
XE,A00,28,P,8025.0,208650.0
XE,A00,29,P,8310.0,216060.0
XE,A00,30,P,8602.5,223665.0
XE,A00,5,Q,1998.0,51948.0
XE,A00,6,Q,2117.25,55048.5
XE,A00,7,Q,2253.75,58597.5
XE,A00,8,Q,2388.0,62088.0
XE,A00,9,Q,2535.75,65929.5
XE,A00,10,Q,2687.25,69868.5
XE,A00,11,Q,2867.25,74548.5
XE,A00,12,Q,3066.75,79735.5
XE,A00,13,Q,3285.75,85429.5
XE,A00,14,Q,3528.75,91747.5
XE,A00,15,Q,3781.5,98319.0
XE,A00,16,Q,4055.25,105436.5
XE,A00,17,Q,4335.0,112710.0
XE,A00,18,Q,4642.5,120705.0
XE,A00,19,Q,4959.0,128934.0
XE,A00,20,Q,5300.25,137806.5
XE,A00,21,Q,5660.25,147166.5
XE,A00,22,Q,6052.5,157365.0
XE,A00,23,Q,6490.5,168753.0
XE,A00,24,Q,6932.25,180238.5
XE,A00,25,Q,7449.0,193674.0
XE,A00,26,Q,7716.75,200635.5
XE,A00,27,Q,8006.25,208162.5
XE,A00,28,Q,8286.0,215436.0
XE,A00,29,Q,8580.0,223080.0
XE,A00,30,Q,8882.25,230938.5
XE,A00,5,R,2063.25,53644.5
XE,A00,6,R,2186.25,56842.5
XE,A00,7,R,2327.25,60508.5
XE,A00,8,R,2465.25,64096.5
XE,A00,9,R,2618.25,68074.5
XE,A00,10,R,2774.25,72130.5
XE,A00,11,R,2960.25,76966.5
XE,A00,12,R,3166.5,82329.0
XE,A00,13,R,3392.25,88198.5
XE,A00,14,R,3643.5,94731.0
XE,A00,15,R,3904.5,101517.0
XE,A00,16,R,4187.25,108868.5
XE,A00,17,R,4476.0,116376.0
XE,A00,18,R,4793.25,124624.5
XE,A00,19,R,5120.25,133126.5
XE,A00,20,R,5472.75,142291.5
XE,A00,21,R,5844.0,151944.0
XE,A00,22,R,6249.0,162474.0
XE,A00,23,R,6701.25,174232.5
XE,A00,24,R,7157.25,186088.5
XE,A00,25,R,7691.25,199972.5
XE,A00,26,R,7967.25,207148.5
XE,A00,27,R,8266.5,214929.0
XE,A00,28,R,8555.25,222436.5
XE,A00,29,R,8859.0,230334.0
XE,A00,30,R,9171.0,238446.0
XE,A00,5,S,2130.0,55380.0
XE,A00,6,S,2257.5,58695.0
XE,A00,7,S,2403.0,62478.0
XE,A00,8,S,2545.5,66183.0
XE,A00,9,S,2703.0,70278.0
XE,A00,10,S,2864.25,74470.5
