JCC,Count
X1705,1
PL0511,1
X2013,1
X2302,1
PL0633,1
L3623,1
C2000,1
L6120,1
PC0345,1
L1844,1
PG0136,1
L5453,1
PF0181,1
PG0715,1
C4215,1
C0175,1
C0008,1
PH0358,1
X2473,1
PL0635,1
X2607B,1
X2590,1
X2580,1
L1718,1
X0107,1
X0188,1
L1660,1
X1487,1
X1248B,1
PC0339,1
X1871,1
PE0442,1
PH0176,1
PD0620,1
L6223,1
X0524,1
C0189,1
C3109,1
X0213C,1
X1649,1
PC0370,1
X1314,1
PC0556,1
PC0567,1
X1864,1
L1404,1
PJ0352,1
L1073,1
C4203,1
L0507,1
X2221,1
C3106,1
X0220,1
PH0384,1
PE0441,1
X1651,1
PB0233,1
X1208,1
PD0951,1
C3450,1
C0157,1
C3019,1
PF0548,1
PJ0455,1
PD0505,1
PF0310,1
X1363,1
PI0305,1
C3108,1
X2567,1
C3731,1
X0553B,1
X1717,1
PG0175,1
PK0141,1
PG0152,1
X0494A,1
X1552,1
L1665,1
PD0230,1
X2518,1
X1157,1
PD0721,1
PB0551,1
L1071,1
C3125,1
PD0639,1
L3627,1
X0636C,1
PH0453,1
X1406C,1
L1652,1
PE0350,1
C0302,1
PB0552,1
X0112,1
PG0113,1
PF0612,1
X1567,1
X0553A,1
PK0362,1
PG0530,1
C3136,1
L1796,1
L1670,1
X0097C,1
X2578,1
PF0631,1
L1854,1
L0472,1
C3720,1
X1576A,1
PG0196,1
PB0222,1
C1029,1
PJ0490,1
X0032B,1
X2250,1
PB0321,1
X1999,1
X0673,1
X0882,1
X2541,1
PD0850,1
X2375,1
C1032,1
X0553D,1
X2494,1
PG0614,1
PI0304,1
PG0743,1
X0526,1
PG03A6,1
PF0471,1
X2200,1
PD0722,1
PE0432,1
PE0443,1
C0007,1
PL0728,1
PD0815,1
PH0213,1
PI0420,1
L5432,1
PB0702,1
C3456,1
PJ0240,1
L4043,1
PF0322,1
X2605,1
L1797,1
X0701C,1
PE0631,1
X1236,1
X1654,1
X0193B,1
PL0632,1
L0460,1
PF0186,1
L1680,1
X1586,1
L1906,1
X2401,1
PB0640,1
L1620,1
PI0412,1
PB0771,1
L1317,1
PA0143,1
L1179,1
X0104,1
PE0414,1
PI04A1,1
L1647,1
C3802,1
X2455,1
C3304,1
X1610,1
X0338,1
L5122,1
PF0324,1
C0146,1
X1703,1
C0691,1
X0289,1
PH0163,1
L6000,1
X0709,1
C3024,1
PD0501,1
PF0561,1
C0215,1
X0452,1
PJ0135,1
X1282,1
X0376,1
C3115,1
PJ0251,1
X2550,1
PB9904,1
PF0193,1
X1670,1
X1180,1
L7127,1
L2001,1
PE0543,1
PK0613,1
PF0472,1
X2469,1
PG0351,1
X2498,1
PD0311,1
X1961,1
C3407,1
L6220,1
PC0109,1
X2046,1
X0467,1
PJ0232,1
PK0252,1
PC0257,1
M0024,1
X2003,1
PE0615,1
PC0203,1
L0505,1
X1429,1
X2171,1
PK0503,1
PC0251,1
PI0543,1
X1290,1
PI04A2,1
X0877,1
X1699,1
L1312,1
L3612,1
PE0254,1
X1707,1
PG0615,1
PH0381,1
PG0462,1
L1322,1
X1430,1
X2206,1
X2002,1
M0013,1
PI0466,1
X2384,1
PD0131,1
C0193,1
C3455,1
X2376,1
X0145,1
PC0256,1
PH0220,1
C5208,1
X2512,1
X1869,1
X2519,1
X2573,1
PC0135,1
C4201,1
L1110,1
PC0362,1
X1504,1
X0818B,1
PH0178,1
PL0433,1
PD0841,1
PD0643,1
X1933,1
PE0130,1
X2344,1
X0428A,1
L1637,1
PC0532,1
C0150,1
PG0749,1
X2544A,1
X1826,1
L1792,1
PD0642,1
X2008,1
X2436,1
PC0590,1
X1284,1
X1931,1
PC0253,1
L1405,1
X2374,1
PH0199,1
X2004,1
C3420,1
L0492,1
PL0211,1
X2234,1
X2005G,1
X2446,1
X2412,1
X1742,1
X1630,1
X1987,1
X2165,1
PC0305,1
X0148B,1
PE0191,1
X0505A,1
C0155,1
L6051,1
PG0660,1
X2449,1
X1566,1
X2392,1
PI0355,1
PC0205,1
PD0714,1
X1486,1
X1929,1
PE0440,1
X1541,1
PB9907,1
L9335,1
X2300,1
X1768A,1
X0814,1
PH0455,1
X2337,1
PC0569,1
X0553C,1
PB0540,1
C5202,1
C3427,1
PI0301,1
X2574,1
PE0515,1
L1624,1
X2005F,1
PH0361,1
X2006C,1
X2075,1
PF0118,1
PE0252,1
PC0355,1
C3601,1
PL0473,1
L1137,1
PG0755,1
X2558B,1
PC0565,1
X1025,1
PK0365,1
PI0422,1
X1130,1
PB0322,1
X0534D,1
X2435,1
X2363,1
L1006,1
X1186A,1
X2553,1
PC0291,1
PC0260,1
PC0237,1
X2256,1
L1618,1
X2029,1
L1659,1
C0187,1
X2005E,1
PE0519,1
X2244,1
L1686,1
X2554,1
C1050,1
X2275,1
PB9905,1
PC0271,1
X2153,1
PC0216,1
PK0364,1
PI0331,1
C3112,1
L1113,1
C3134,1
PC0361,1
X0680,1
X0186C,1
PE0511,1
P7768,1
C3200,1
PB9991,1
X2552,1
X0248B,1
PC0571,1
L9439,1
X1895,1
PC0258,1
L1206,1
PH0357,1
PB0231,1
L0467,1
PL0842,1
PG0180,1
L1793,1
PG0170,1
C3104,1
PH0198,1
PC0533,1
X0636D,1
L0494,1
PL0442,1
X2317,1
L1146,1
PJ0260,1
L0495,1
X2346,1
PJ0243,1
C3113,1
PC0311,1
L1320,1
L1007,1
X0002,1
L4040,1
L1323,1
PC0238,1
L1145,1
PF0543,1
PI0421,1
PG03A1,1
X1704,1
PG0533,1
X0005A,1
X0005,1
C4226,1
PK0612,1
X1428,1
PD0314,1
PB0622,1
L9337,1
L9388,1
X0428D,1
X2377,1
L6225,1
C3603,1
X2549,1
PC0294,1
X2219,1
X2269,1
X2510,1
C3504,1
X2440,1
X2612,1
PF0139,1
PG0652,1
PK0715,1
X2315,1
X1894,1
X1192D,1
PI0312,1
C0301,1
X0098,1
X2378,1
X2458,1
PC0511,1
PK0443,1
X2515,1
PB0722,1
PD0646,1
C0194,1
C4204,1
X2351,1
X2577,1
X1715,1
PG0527,1
PB0411,1
X1702,1
PB0261,1
PD0350,1
L6319,1
X2081,1
